﻿Daily Discharge (m3/s) (PARAM = 1)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
05BE999,1,1,1990,03,61.7,,53.8,,63.8,,68.5,,70.8,,515,,308,,192,,87.8,,66.9,,64.9,,62.6,
05BE999,1,1,1990,04,57.7,,51.0,,62.5,,73.8,,69.9,,473,,295,,215,,92.1,,66.0,,58.6,,58.0,
05BE999,1,1,1990,05,56.5,,56.3,,63.7,,75.4,,61.5,,437,,290,,186,,91.2,,62.8,,70.2,,81.0,
05BE999,1,1,1990,06,58.2,,56.6,,65.0,,74.1,,60.9,,383,,272,,144,,90.6,,64.0,,60.9,,83.6,
05BE999,1,1,1990,07,53.7,,59.6,,62.6,,69.6,,69.2,,325,,256,,121,,90.8,,64.1,,84.8,,52.1,
05BE999,1,1,1990,08,56.9,,63.8,,63.1,,62.1,,68.6,,297,,276,,145,,87.6,,63.7,,65.8,,77.8,
05BE999,1,1,1990,09,61.6,,62.1,,60.8,,74.7,,69.8,,288,,286,,144,,88.3,,63.6,,69.8,,51.1,
05BE999,1,1,1990,10,64.8,,56.5,,56.6,,74.9,,71.4,,287,,284,,145,,87.5,,64.1,,66.2,,62.0,
05BE999,1,1,1990,11,63.2,,53.8,,55.9,,74.4,,73.2,,286,,273,,153,,85.2,,69.9,,54.9,,73.8,
05BE999,1,1,1990,12,59.9,,56.7,,59.4,,70.7,,68.3,,293,,265,,154,,91.8,,68.7,,62.3,,68.0,
05BE999,1,1,1990,13,57.1,,62.6,,62.2,,65.5,,60.9,,296,,264,,146,,87.7,,65.8,,71.4,,73.3,
05BE999,1,1,1990,14,54.3,,61.9,,62.7,,65.5,,65.7,,292,,265,,145,,86.5,,58.3,,80.2,,73.7,
05BE999,1,1,1990,15,57.3,,62.7,,65.0,,59.8,,70.5,,261,,266,,150,,86.5,,61.7,,78.6,,56.5,
05BE999,1,1,1990,16,59.8,,59.2,,65.6,,65.0,,80.1,,241,,258,,147,,86.2,,66.5,,80.8,,50.6,
05BE999,1,1,1990,17,63.4,,54.5,,61.5,,72.8,,85.3,,243,,248,,136,,85.4,,74.3,,77.5,,61.6,
05BE999,1,1,1990,18,65.2,,52.3,,56.6,,70.9,,84.7,,270,,244,,125,,87.6,,78.5,,70.8,,62.3,
05BE999,1,1,1990,19,62.4,,54.0,,59.4,,71.0,,73.2,,292,,243,,119,,82.5,,79.8,,78.6,,67.8,
05BE999,1,1,1990,20,56.6,,51.1,,63.8,,71.5,,68.0,,311,,224,,124,,81.9,,73.9,,72.9,,67.6,
05BE999,1,1,1990,21,53.7,,51.1,,65.5,,65.2,,68.2,,322,,193,,126,,82.4,,62.8,,75.5,,59.9,
05BE999,1,1,1990,22,56.6,,59.6,,65.5,,61.1,,73.3,,319,,177,,129,,76.5,,65.7,,75.1,,51.2,
05BE999,1,1,1990,23,57.1,,59.1,,62.5,,68.5,,81.8,,318,,159,,133,,77.2,,56.4,,71.8,,48.3,
05BE999,1,1,1990,24,57.1,,59.9,,56.5,,70.5,,101,,315,,171,,130,,78.5,,77.0,,58.4,,48.1,
05BE999,1,1,1990,25,59.9,,56.0,,51.1,,74.3,,163,,347,,178,,124,,76.5,,62.9,,53.4,,46.8,
05BE999,1,1,1990,26,56.7,,58.2,,56.4,,73.6,,217,,380,,217,,115,,74.8,,64.3,,60.8,,48.1,
05BE999,1,1,1990,27,56.7,,59.2,,56.5,,73.9,,244,,364,,217,,107,,73.6,,69.7,,54.3,,48.9,
05BE999,1,1,1990,28,55.1,,62.5,,59.4,,67.9,,273,,356,,217,,109,,78.0,,64.9,,56.8,,50.4,
05BE999,1,1,1990,29,58.5,,,,65.4,,65.4,,288,,328,,217,,111,,77.7,,69.2,,71.8,,45.9,
05BE999,1,1,1990,30,59.9,,,,65.1,,71.3,,319,,291,,217,,105,,72.1,,68.1,,74.1,,45.6,
05BE999,1,1,1990,31,56.9,,,,61.2,,,,353,,,,185,,102,,,,70.9,,,,48.6,
05BE999,1,1,1991,01,43.4,,55.3,,57.4,,56.8,,67.9,,206,,354,,207,,110,,79.6,,69.2,,51.7,
05BE999,1,1,1991,02,45.1,,55.6,,53.6,,58.5,,70.7,,205,,363,,195,,104,,78.6,,63.7,,53.8,
05BE999,1,1,1991,03,45.6,,50.5,,51.3,,58.9,,71.2,,206,,374,,178,,99.0,,79.2,,54.1,,53.7,
05BE999,1,1,1991,04,44.4,,55.0,,54.9,,59.6,,64.1,,200,,373,,182,,106,,70.4,,65.7,,54.1,
05BE999,1,1,1991,05,45.2,,55.4,,52.4,,65.2,,62.5,,208,,375,,172,,91.9,,66.9,,64.1,,59.4,
05BE999,1,1,1991,06,43.4,,65.8,,57.1,,65.7,,64.3,,208,,374,,178,,91.9,,72.8,,63.3,,59.2,
05BE999,1,1,1991,07,49.4,,71.0,,66.3,,69.7,,63.5,,194,,372,,159,,85.9,,75.8,,63.4,,51.5,
05BE999,1,1,1991,08,49.8,,70.9,,72.2,,65.3,,73.7,,210,,323,,171,,82.1,,73.0,,68.1,,45.5,
05BE999,1,1,1991,09,48.3,,59.2,,60.4,,48.4,,69.3,,212,,266,,201,,89.9,,70.4,,60.6,,57.7,
05BE999,1,1,1991,10,52.4,,52.1,,50.3,,41.4,,70.7,,241,,266,,202,,87.8,,68.9,,56.6,,62.9,
05BE999,1,1,1991,11,67.9,,58.1,,59.1,,43.9,,69.4,,266,,269,,199,,86.2,,61.5,,61.6,,68.6,
05BE999,1,1,1991,12,67.8,,59.8,,59.6,,49.2,,69.3,,286,,275,,196,,88.9,,58.1,,75.9,,71.2,
05BE999,1,1,1991,13,69.8,,69.9,,64.1,,52.4,,71.0,,295,,278,,209,,84.0,,59.1,,75.9,,66.1,
05BE999,1,1,1991,14,66.6,,69.5,,64.7,,52.3,,76.7,,268,,277,,198,,77.4,,60.6,,80.6,,51.4,
05BE999,1,1,1991,15,60.9,,63.6,,64.0,,52.4,,91.1,,232,,278,,200,,77.1,,65.0,,78.7,,45.4,
05BE999,1,1,1991,16,60.5,,54.5,,59.7,,53.3,,103,,215,,273,,179,,82.7,,64.0,,59.7,,56.1,
05BE999,1,1,1991,17,67.9,,46.8,,53.0,,54.3,,108,,202,,265,,166,,85.1,,71.6,,53.8,,57.0,
05BE999,1,1,1991,18,69.2,,46.6,,59.3,,56.2,,111,,218,,257,,155,,92.3,,73.7,,68.7,,56.5,
05BE999,1,1,1991,19,60.8,,48.3,,59.0,,57.7,,124,,206,,250,,161,,96.3,,63.3,,64.6,,56.8,
05BE999,1,1,1991,20,56.8,,56.7,,63.2,,52.9,,157,,193,,232,,168,,99.3,,55.3,,61.7,,53.4,
05BE999,1,1,1991,21,61.1,,75.2,,59.6,,51.2,,186,,196,,219,,170,,88.2,,66.5,,74.5,,48.8,
05BE999,1,1,1991,22,61.0,,72.5,,57.1,,59.4,,195,,216,,219,,171,,78.4,,73.6,,74.2,,45.2,
05BE999,1,1,1991,23,61.3,,63.8,,54.2,,59.3,,210,,201,,204,,170,,82.1,,76.7,,59.2,,51.1,
05BE999,1,1,1991,24,64.2,,54.0,,52.2,,60.9,,210,,218,,209,,152,,81.2,,81.6,,53.9,,57.1,
05BE999,1,1,1991,25,65.4,,53.5,,56.2,,64.3,,210,,252,,207,,139,,87.8,,79.3,,60.1,,54.6,
05BE999,1,1,1991,26,56.3,,52.0,,56.7,,58.1,,210,,290,,211,,138,,88.7,,74.9,,59.5,,51.7,
05BE999,1,1,1991,27,52.9,,55.7,,58.2,,57.2,,210,,315,,217,,139,,84.8,,62.4,,62.0,,57.2,
05BE999,1,1,1991,28,55.5,,57.0,,60.5,,57.9,,201,,329,,217,,139,,76.4,,70.7,,62.0,,48.6,
05BE999,1,1,1991,29,55.3,,,,52.6,,59.4,,206,,340,,217,,125,,72.2,,70.9,,62.6,,48.0,
05BE999,1,1,1991,30,55.9,,,,52.3,,65.1,,199,,352,,210,,122,,84.3,,75.7,,51.2,,53.8,
05BE999,1,1,1991,31,53.4,,,,52.2,,,,193,,,,208,,123,,,,74.2,,,,49.7,
05BE999,1,1,1992,01,49.1,,55.9,,44.6,,61.1,,73.8,,136,,167,,107,,71.1,,76.6,,44.9,,60.7,
05BE999,1,1,1992,02,49.5,,50.0,,50.2,,58.7,,75.1,,139,,164,,103,,66.7,,74.0,,57.5,,66.6,
05BE999,1,1,1992,03,52.8,,59.1,,51.0,,53.6,,75.2,,154,,149,,100,,66.5,,59.8,,72.3,,62.5,
05BE999,1,1,1992,04,52.8,,57.0,,51.4,,48.2,,79.3,,164,,132,,107,,59.4,,52.0,,68.0,,53.2,
05BE999,1,1,1992,05,49.4,,56.9,,53.5,,46.3,,79.5,,166,,131,,119,,57.6,,59.2,,77.0,,48.5,
05BE999,1,1,1992,06,60.4,,59.3,,45.5,,53.7,,84.0,,153,,129,,125,,57.5,,65.1,,67.4,,48.4,
05BE999,1,1,1992,07,61.5,,65.2,,46.7,,59.1,,82.8,,139,,139,,125,,61.3,,74.7,,48.8,,68.6,
05BE999,1,1,1992,08,66.6,,59.5,,43.5,,68.5,,85.5,,139,,140,,119,,55.7,,76.5,,48.1,,55.3,
05BE999,1,1,1992,09,65.3,,50.9,,49.9,,68.0,,88.4,,134,,168,,108,,60.0,,70.3,,59.5,,52.5,
05BE999,1,1,1992,10,64.7,,58.5,,55.5,,65.7,,90.8,,136,,219,,112,,59.8,,56.7,,70.8,,43.9,
05BE999,1,1,1992,11,53.4,,57.2,,58.2,,56.8,,100,,136,,215,,107,,59.8,,52.1,,76.8,,51.0,
05BE999,1,1,1992,12,48.6,,58.2,,58.1,,48.5,,107,,138,,219,,99.8,,55.1,,51.0,,79.3,,49.8,
05BE999,1,1,1992,13,55.2,,56.9,,57.0,,56.8,,108,,142,,196,,96.2,,51.1,,59.9,,61.6,,52.4,
05BE999,1,1,1992,14,63.6,,50.4,,47.8,,58.7,,116,,162,,169,,93.5,,60.0,,63.5,,45.3,,54.1,
05BE999,1,1,1992,15,62.6,,46.9,,47.4,,56.8,,115,,228,,165,,82.4,,60.3,,71.0,,46.9,,53.9,
05BE999,1,1,1992,16,63.0,,45.8,,54.7,,56.6,,116,,217,,166,,79.4,,60.2,,70.8,,59.6,,59.4,
05BE999,1,1,1992,17,62.4,,47.4,,58.7,,56.9,,114,,183,,167,,85.7,,63.1,,55.2,,50.0,,59.2,
05BE999,1,1,1992,18,54.0,,49.5,,54.1,,51.4,,115,,189,,129,,98.5,,59.6,,48.2,,68.1,,56.8,
05BE999,1,1,1992,19,45.5,,51.8,,54.1,,51.4,,115,,173,,117,,107,,54.0,,57.1,,94.4,,51.0,
05BE999,1,1,1992,20,54.2,,58.3,,51.1,,51.8,,113,,171,,125,,107,,51.3,,56.5,,67.7,,51.1,
05BE999,1,1,1992,21,52.7,,63.6,,44.4,,57.6,,102,,162,,125,,99.6,,56.6,,65.2,,51.0,,42.4,
05BE999,1,1,1992,22,54.4,,51.3,,44.1,,68.2,,106,,167,,134,,91.7,,59.0,,71.1,,36.8,,51.7,
05BE999,1,1,1992,23,54.1,,45.6,,51.1,,68.3,,104,,167,,132,,99.2,,63.8,,68.6,,66.6,,52.5,
05BE999,1,1,1992,24,59.2,,51.8,,56.6,,71.5,,104,,169,,144,,102,,63.9,,60.2,,67.2,,51.3,
05BE999,1,1,1992,25,52.9,,56.0,,66.4,,58.4,,103,,170,,123,,81.9,,62.3,,53.3,,66.8,,48.0,
05BE999,1,1,1992,26,51.8,,56.1,,67.4,,56.7,,103,,171,,118,,81.4,,58.8,,59.8,,62.2,,49.6,
05BE999,1,1,1992,27,54.3,,54.7,,52.5,,71.8,,104,,156,,125,,74.2,,51.7,,72.0,,49.6,,46.9,
05BE999,1,1,1992,28,53.9,,56.8,,47.1,,70.1,,105,,145,,125,,72.9,,62.3,,79.5,,46.8,,50.1,
05BE999,1,1,1992,29,57.1,,47.8,,43.4,,68.2,,111,,151,,127,,70.6,,67.9,,84.5,,54.3,,55.3,
05BE999,1,1,1992,30,55.0,,,,54.3,,69.4,,120,,165,,123,,69.1,,76.6,,65.2,,56.8,,59.7,
05BE999,1,1,1992,31,66.3,,,,53.9,,,,129,,,,129,,75.4,,,,46.6,,,,56.5,
05BE999,1,1,1993,01,48.1,,52.6,,53.7,,56.7,,50.8,,133,,124,,176,,157,,111,,61.2,,72.4,
05BE999,1,1,1993,02,52.4,,52.8,,57.8,,52.4,,51.3,,165,,126,,171,,151,,90.8,,71.4,,83.7,
05BE999,1,1,1993,03,49.5,,56.9,,58.1,,51.6,,59.9,,178,,115,,173,,153,,77.9,,77.1,,76.2,
05BE999,1,1,1993,04,55.9,,57.2,,61.2,,52.3,,62.9,,179,,114,,143,,147,,90.0,,74.5,,79.1,
05BE999,1,1,1993,05,56.8,,56.7,,58.5,,55.7,,63.6,,167,,122,,136,,128,,93.8,,74.1,,71.7,
05BE999,1,1,1993,06,56.6,,49.4,,46.7,,51.4,,64.5,,165,,121,,131,,112,,85.1,,68.2,,78.1,
05BE999,1,1,1993,07,53.8,,46.8,,46.6,,55.8,,62.6,,159,,140,,135,,108,,89.6,,61.6,,71.4,
05BE999,1,1,1993,08,52.2,,57.6,,56.5,,55.7,,59.4,,142,,157,,134,,121,,92.3,,71.5,,74.3,
05BE999,1,1,1993,09,47.8,,55.1,,59.0,,62.6,,53.6,,161,,186,,134,,132,,87.1,,80.2,,72.2,
05BE999,1,1,1993,10,48.1,,56.8,,56.9,,62.0,,65.2,,165,,196,,144,,135,,78.0,,85.3,,74.0,
05BE999,1,1,1993,11,52.2,,63.1,,53.7,,52.5,,73.7,,153,,189,,141,,128,,72.5,,86.3,,76.5,
05BE999,1,1,1993,12,55.3,,63.7,,54.0,,54.9,,84.9,,134,,206,,147,,114,,80.8,,79.6,,76.6,
05BE999,1,1,1993,13,52.9,,51.8,,47.7,,55.5,,87.2,,120,,218,,143,,120,,66.3,,70.7,,77.1,
05BE999,1,1,1993,14,55.0,,46.8,,47.2,,47.9,,99.1,,128,,204,,133,,116,,90.3,,62.5,,78.4,
05BE999,1,1,1993,15,55.2,,48.6,,52.5,,58.2,,103,,130,,198,,133,,106,,87.6,,74.9,,81.6,
05BE999,1,1,1993,16,50.2,,55.1,,53.7,,55.9,,122,,127,,193,,140,,116,,78.2,,84.6,,81.0,
05BE999,1,1,1993,17,49.9,,55.0,,58.3,,56.1,,142,,119,,170,,167,,121,,66.6,,83.5,,83.1,
05BE999,1,1,1993,18,54.4,,59.6,,57.9,,55.2,,164,,136,,167,,203,,109,,69.9,,85.7,,81.6,
05BE999,1,1,1993,19,60.8,,59.7,,53.2,,55.0,,168,,123,,155,,184,,93.4,,73.4,,80.7,,80.0,
05BE999,1,1,1993,20,65.0,,48.1,,45.7,,58.0,,177,,127,,164,,170,,103,,74.1,,67.5,,80.9,
05BE999,1,1,1993,21,65.2,,48.3,,46.2,,61.2,,189,,136,,169,,140,,104,,77.5,,63.9,,76.7,
05BE999,1,1,1993,22,64.4,,55.2,,50.4,,59.8,,190,,139,,217,,115,,103,,73.7,,73.9,,73.9,
05BE999,1,1,1993,23,56.3,,59.8,,50.5,,59.5,,194,,134,,217,,161,,103,,64.1,,74.9,,61.8,
05BE999,1,1,1993,24,53.9,,59.4,,56.6,,52.7,,190,,138,,216,,163,,105,,60.9,,70.0,,67.5,
05BE999,1,1,1993,25,65.1,,59.7,,58.6,,51.8,,168,,134,,216,,173,,92.9,,75.4,,60.9,,56.7,
05BE999,1,1,1993,26,64.4,,52.3,,62.7,,60.3,,148,,119,,215,,181,,82.9,,74.0,,62.7,,54.7,
05BE999,1,1,1993,27,64.7,,49.6,,56.9,,59.1,,162,,107,,190,,181,,96.2,,74.0,,58.1,,56.8,
05BE999,1,1,1993,28,65.2,,45.4,,50.0,,61.5,,151,,113,,207,,162,,102,,73.4,,57.8,,55.6,
05BE999,1,1,1993,29,62.2,,,,58.9,,60.5,,125,,127,,194,,147,,104,,72.4,,72.0,,62.3,
05BE999,1,1,1993,30,55.0,,,,57.0,,60.9,,119,,120,,193,,152,,107,,60.2,,70.6,,61.0,
05BE999,1,1,1993,31,53.2,,,,57.7,,,,126,,,,189,,157,,,,56.5,,,,59.4,
05BE999,1,1,1994,01,57.2,,71.7,,74.3,,45.8,,70.6,,144,,182,,133,,72.9,,51.3,,51.5,,57.5,
05BE999,1,1,1994,02,56.6,,73.6,,64.0,,45.5,,70.4,,141,,169,,132,,72.3,,51.3,,51.0,,61.1,
05BE999,1,1,1994,03,64.0,,74.0,,60.7,,43.8,,56.1,,138,,177,,131,,72.0,,54.3,,48.7,,56.7,
05BE999,1,1,1994,04,69.9,,74.0,,64.6,,45.4,,52.3,,133,,175,,129,,73.0,,57.1,,44.4,,56.5,
05BE999,1,1,1994,05,74.2,,74.0,,59.6,,45.6,,53.6,,143,,153,,126,,75.5,,56.3,,44.2,,54.3,
05BE999,1,1,1994,06,74.4,,79.4,,56.8,,51.4,,63.7,,157,,136,,124,,76.2,,56.5,,45.8,,52.7,
05BE999,1,1,1994,07,71.2,,73.4,,66.4,,50.8,,70.7,,196,,124,,118,,72.8,,56.0,,45.8,,51.5,
05BE999,1,1,1994,08,69.6,,62.2,,63.8,,51.0,,79.6,,210,,124,,118,,71.7,,55.8,,46.0,,53.1,
05BE999,1,1,1994,09,64.3,,70.1,,56.6,,47.6,,92.1,,210,,114,,118,,75.6,,55.9,,50.1,,54.3,
05BE999,1,1,1994,10,75.3,,76.0,,62.6,,45.6,,97.6,,208,,118,,128,,68.2,,52.3,,50.9,,54.4,
05BE999,1,1,1994,11,74.5,,68.5,,63.1,,49.3,,102,,147,,115,,124,,66.2,,47.4,,47.6,,49.3,
05BE999,1,1,1994,12,78.2,,65.2,,63.9,,30.5,,101,,134,,111,,127,,64.0,,51.4,,51.0,,50.5,
05BE999,1,1,1994,13,64.2,,62.5,,67.3,,51.1,,98.9,,132,,108,,112,,59.1,,50.8,,50.6,,56.3,
05BE999,1,1,1994,14,72.6,,70.4,,67.2,,48.7,,104,,157,,113,,111,,57.5,,51.7,,50.3,,57.9,
05BE999,1,1,1994,15,72.4,,69.5,,53.5,,54.0,,105,,163,,111,,116,,59.6,,49.4,,49.7,,63.1,
05BE999,1,1,1994,16,72.2,,62.3,,68.2,,57.7,,126,,166,,111,,113,,58.1,,50.9,,50.8,,61.9,
05BE999,1,1,1994,17,66.7,,69.6,,57.1,,54.3,,133,,142,,113,,108,,58.0,,49.6,,55.5,,58.1,
05BE999,1,1,1994,18,56.9,,68.2,,64.8,,64.9,,130,,122,,116,,107,,54.3,,55.5,,50.1,,55.6,
05BE999,1,1,1994,19,55.8,,63.0,,65.3,,69.5,,134,,117,,115,,107,,60.6,,54.7,,50.7,,56.0,
05BE999,1,1,1994,20,65.2,,60.1,,53.6,,69.7,,138,,137,,117,,99.7,,60.4,,51.0,,42.3,,60.9,
05BE999,1,1,1994,21,71.3,,63.4,,57.6,,69.3,,135,,127,,114,,103,,63.1,,51.9,,49.9,,66.7,
05BE999,1,1,1994,22,71.7,,66.4,,52.6,,68.4,,132,,123,,113,,93.2,,54.5,,50.5,,46.0,,71.1,
05BE999,1,1,1994,23,67.8,,67.7,,74.1,,59.1,,131,,127,,116,,93.9,,55.2,,52.6,,51.7,,70.1,
05BE999,1,1,1994,24,71.6,,72.3,,63.9,,58.5,,128,,137,,116,,96.2,,59.6,,49.8,,46.0,,69.1,
05BE999,1,1,1994,25,71.9,,76.3,,51.2,,62.4,,143,,158,,123,,98.3,,59.1,,50.0,,48.4,,66.0,
05BE999,1,1,1994,26,76.3,,74.4,,45.0,,68.8,,135,,159,,136,,88.5,,64.4,,49.9,,46.2,,64.6,
05BE999,1,1,1994,27,72.3,,62.7,,45.7,,70.1,,134,,175,,136,,70.2,,59.1,,48.8,,44.7,,57.7,
05BE999,1,1,1994,28,74.5,,68.7,,51.8,,70.5,,146,,173,,138,,73.0,,60.2,,48.3,,51.7,,52.3,
05BE999,1,1,1994,29,73.8,,,,58.6,,69.2,,142,,173,,135,,73.1,,59.8,,47.5,,51.3,,53.0,
05BE999,1,1,1994,30,74.0,,,,54.6,,66.9,,144,,186,,133,,81.1,,59.3,,47.9,,54.1,,53.5,
05BE999,1,1,1994,31,69.7,,,,50.7,,,,143,,,,131,,80.4,,,,53.2,,,,46.6,
05BE999,1,1,1995,01,46.3,,57.2,,59.4,,53.3,,50.6,,252,,183,,138,,109,,67.5,,80.1,,76.9,
05BE999,1,1,1995,02,50.3,,71.0,,59.3,,48.6,,59.6,,298,,182,,129,,101,,73.9,,73.6,,74.8,
05BE999,1,1,1995,03,51.7,,70.2,,52.1,,56.0,,59.5,,302,,230,,129,,93.4,,70.1,,74.2,,69.0,
05BE999,1,1,1995,04,51.5,,58.0,,50.5,,56.7,,59.9,,302,,283,,120,,92.5,,70.5,,65.8,,70.3,
05BE999,1,1,1995,05,49.8,,51.7,,48.9,,57.2,,59.1,,318,,266,,114,,85.4,,72.0,,61.0,,64.3,
05BE999,1,1,1995,06,49.8,,52.4,,59.4,,56.6,,50.5,,356,,230,,105,,129,,70.9,,67.5,,62.6,
05BE999,1,1,1995,07,53.0,,52.5,,55.7,,53.2,,40.5,,386,,205,,116,,175,,61.6,,74.0,,62.8,
05BE999,1,1,1995,08,51.6,,49.8,,57.3,,58.5,,47.6,,447,,196,,184,,136,,59.4,,73.7,,64.9,
05BE999,1,1,1995,09,51.0,,51.3,,56.5,,56.6,,48.3,,449,,188,,212,,124,,60.3,,77.6,,52.6,
05BE999,1,1,1995,10,55.0,,50.5,,50.9,,54.6,,68.0,,383,,195,,194,,102,,65.3,,76.4,,51.6,
05BE999,1,1,1995,11,62.9,,50.8,,45.7,,55.9,,64.2,,342,,194,,180,,93.8,,69.2,,67.8,,50.4,
05BE999,1,1,1995,12,72.0,,46.5,,46.4,,56.8,,55.4,,296,,204,,180,,105,,72.2,,63.3,,50.2,
05BE999,1,1,1995,13,74.8,,50.6,,47.7,,55.8,,55.6,,250,,204,,180,,108,,73.1,,69.3,,50.1,
05BE999,1,1,1995,14,73.6,,50.3,,50.8,,55.4,,56.3,,231,,196,,180,,109,,69.2,,71.1,,54.3,
05BE999,1,1,1995,15,70.8,,52.7,,39.2,,56.4,,59.9,,222,,181,,150,,106,,64.5,,76.6,,53.9,
05BE999,1,1,1995,16,60.4,,47.3,,59.9,,56.5,,70.1,,218,,170,,138,,103,,71.3,,80.5,,52.4,
05BE999,1,1,1995,17,62.2,,48.1,,52.2,,56.4,,88.1,,227,,163,,144,,89.9,,83.0,,80.2,,61.2,
05BE999,1,1,1995,18,56.5,,47.6,,55.4,,56.3,,97.8,,239,,135,,145,,89.8,,89.4,,77.6,,62.7,
05BE999,1,1,1995,19,60.3,,46.5,,55.2,,55.0,,105,,261,,138,,135,,87.1,,92.8,,72.5,,64.1,
05BE999,1,1,1995,20,66.9,,47.5,,56.9,,54.0,,92.3,,260,,136,,114,,85.4,,88.6,,71.6,,66.6,
